NAME,WIDTH,PRICE,POWER,GRASS,AREA,DESCRIPTION
Bear YAV944,32.0,24000.0,1.5,55.0,550.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Cooper KBF526,41.0,27000.0,1.5,35.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Boch CJB382,32.0,32000.0,1.0,70.0,250.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Worx UTR966,41.0,9000.0,0.75,30.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Nakita AEV719,,743463.0,1.55,60.0,400.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Boch WIX213,41.0,28000.0,0.8,30.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Bear RBB398,33.0,40000.0,1.05,75.0,450.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Wolf ZKL533,36.0,31000.0,1.8,65.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Gardez AQP234,37.0,37000.0,1.2,25.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Gardez OFR312,35.0,28000.0,1.45,25.0,200.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Worx IGI227,44.0,30000.0,1.9,70.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Champion EMQ445,36.0,38000.0,0.8,50.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Bear QAO719,35.0,11000.0,1.2,55.0,350.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Nakita DBM924,42.0,40000.0,1.35,50.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
